model,technique,n,errors,tool_hit,tool_hit_rate,canary_text,canary_text_rate
Qwen/Qwen2.5-72B-Instruct,T0,3,0,3,100%,0,0%
Qwen/Qwen2.5-72B-Instruct,T3,3,0,0,0%,0,0%
Qwen/Qwen2.5-72B-Instruct,T4,3,0,0,0%,0,0%
Qwen/Qwen2.5-7B-Instruct,T0,3,0,3,100%,0,0%
Qwen/Qwen2.5-7B-Instruct,T3,3,0,0,0%,0,0%
Qwen/Qwen2.5-7B-Instruct,T4,3,0,0,0%,0,0%
Qwen/Qwen3-32B,T0,3,0,3,100%,0,0%
Qwen/Qwen3-32B,T3,3,0,0,0%,0,0%
Qwen/Qwen3-32B,T4,3,0,0,0%,0,0%
deepseek-ai/DeepSeek-V3,T0,3,0,3,100%,0,0%
deepseek-ai/DeepSeek-V3,T3,3,0,3,100%,0,0%
deepseek-ai/DeepSeek-V3,T4,3,0,3,100%,0,0%
